                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55438,                0.67259,                0.92353,                0.92148,                0.85978,                0.91034,                0.78881,                0.57125,                0.39633,                0.88185,             0.00034895,             0.00034895,             0.00034895
                     37,                0.55327,                0.66086,                0.92379,                0.92733,                0.84089,                0.90637,                0.78212,                0.56777,                0.41337,                0.87993,             0.00034374,             0.00034374,             0.00034374
                     38,                0.56117,                0.65546,                0.92778,                0.95306,                0.82907,                0.90928,                 0.7871,                0.57934,                0.41115,                0.88473,             0.00033853,             0.00033853,             0.00033853
                     39,                0.54965,                0.65855,                0.92572,                0.95702,                0.83155,                0.91268,                0.78898,                 0.5602,                0.39922,                0.87811,             0.00033333,             0.00033333,             0.00033333
                     40,                0.55173,                0.63372,                0.92777,                0.92846,                0.85657,                0.91616,                0.79547,                0.56406,                 0.3993,                0.87802,             0.00032812,             0.00032812,             0.00032812
                     41,                0.55299,                0.62522,                0.92189,                0.94357,                0.84698,                0.90816,                0.78627,                0.57048,                0.39459,                0.88092,             0.00032291,             0.00032291,             0.00032291
                     42,                0.54389,                0.64561,                0.92421,                0.94259,                0.84403,                  0.912,                0.79034,                0.56199,                0.40625,                0.87754,              0.0003177,              0.0003177,              0.0003177
                     43,                0.54054,                0.62552,                0.92032,                 0.9533,                0.84332,                0.91462,                0.79342,                0.56543,                0.38837,                0.87747,              0.0003125,              0.0003125,              0.0003125
                     44,                0.53565,                0.62029,                0.92127,                0.93073,                 0.8616,                0.91616,                0.79313,                0.55744,                0.37943,                0.87542,             0.00030729,             0.00030729,             0.00030729
                     45,                0.54901,                 0.6254,                0.92403,                0.93378,                 0.8625,                0.92011,                0.79888,                0.56538,                0.38265,                0.87975,             0.00030208,             0.00030208,             0.00030208
                     46,                0.54042,                0.61594,                 0.9201,                0.95723,                0.83002,                0.91458,                0.79118,                0.55281,                0.38891,                0.87488,             0.00029687,             0.00029687,             0.00029687
                     47,                0.53876,                0.59999,                0.91828,                0.95283,                0.85447,                0.92467,                0.80357,                0.54992,                0.36466,                0.87564,             0.00029167,             0.00029167,             0.00029167
                     48,                0.54091,                0.61089,                0.92292,                0.95157,                0.86944,                0.92731,                0.80548,                0.55847,                0.36937,                 0.8757,             0.00028646,             0.00028646,             0.00028646
                     49,                0.53284,                0.59352,                0.91859,                0.97106,                0.84054,                0.91794,                0.79188,                0.56597,                0.38979,                0.87583,             0.00028125,             0.00028125,             0.00028125
                     50,                0.53464,                 0.6023,                0.91928,                0.94011,                0.86969,                0.92221,                0.80066,                0.55807,                 0.3646,                0.87465,             0.00027604,             0.00027604,             0.00027604
                     51,                0.53922,                0.58812,                0.91977,                0.91378,                0.85957,                0.91401,                0.78854,                 0.5572,                0.36929,                0.87651,             0.00027084,             0.00027084,             0.00027084
                     52,                 0.5256,                 0.5733,                0.91484,                  0.935,                0.86234,                  0.919,                0.80099,                0.55355,                0.37162,                0.87458,             0.00026563,             0.00026563,             0.00026563
                     53,                0.52327,                 0.5888,                0.91934,                0.94432,                0.85144,                0.92184,                0.80025,                0.55542,                0.36509,                0.87464,             0.00026042,             0.00026042,             0.00026042
                     54,                0.52695,                0.58245,                0.91708,                0.93499,                0.86931,                0.92363,                0.80596,                0.55253,                0.36354,                0.87354,             0.00025522,             0.00025522,             0.00025522
                     55,                0.52149,                0.57743,                0.91332,                0.95299,                0.87485,                0.92744,                 0.8054,                0.55226,                0.35339,                 0.8758,             0.00025001,             0.00025001,             0.00025001
                     56,                 0.5251,                0.57716,                0.91665,                 0.9421,                0.87237,                0.92808,                0.80658,                0.55916,                0.34798,                0.87492,              0.0002448,              0.0002448,              0.0002448
                     57,                0.52026,                 0.5695,                0.91439,                0.95197,                0.85975,                0.92523,                0.80585,                  0.553,                0.35576,                0.87341,             0.00023959,             0.00023959,             0.00023959
                     58,                0.51109,                0.55364,                0.91242,                0.95211,                0.85997,                0.92492,                0.80531,                0.55455,                0.35043,                0.87326,             0.00023439,             0.00023439,             0.00023439
                     59,                0.51752,                0.54868,                 0.9108,                0.93038,                0.88116,                0.93035,                0.80611,                0.54846,                0.34468,                0.86976,             0.00022918,             0.00022918,             0.00022918
                     60,                0.51943,                0.55804,                0.91182,                 0.9368,                0.87571,                0.92877,                0.81041,                0.54441,                0.34352,                0.86804,             0.00022397,             0.00022397,             0.00022397
                     61,                0.50618,                0.55423,                0.90726,                0.93842,                0.87801,                0.92663,                0.80547,                0.55687,                0.34099,                0.87359,             0.00021876,             0.00021876,             0.00021876
                     62,                0.50562,                0.54578,                0.91241,                0.93568,                0.85174,                0.91765,                0.79786,                0.54691,                0.36209,                0.86924,             0.00021356,             0.00021356,             0.00021356
                     63,                0.50859,                0.53614,                0.91032,                0.92287,                 0.8891,                0.92913,                0.81054,                0.54598,                0.33988,                0.87094,             0.00020835,             0.00020835,             0.00020835
                     64,                0.51173,                 0.5382,                0.91115,                0.91631,                0.88519,                0.92433,                0.80322,                0.54768,                0.34387,                0.87059,             0.00020314,             0.00020314,             0.00020314
                     65,                0.50787,                0.53023,                0.91105,                0.94079,                0.87863,                0.92772,                 0.8079,                0.54956,                0.35209,                0.87421,             0.00019793,             0.00019793,             0.00019793
                     66,                 0.5037,                0.53104,                0.90813,                0.93234,                0.88292,                0.92782,                0.80929,                 0.5489,                0.33893,                 0.8764,             0.00019273,             0.00019273,             0.00019273
                     67,                0.50316,                0.53138,                0.90761,                0.94079,                0.87418,                0.93116,                0.80947,                0.54382,                 0.3396,                0.87126,             0.00018752,             0.00018752,             0.00018752
                     68,                0.50706,                0.53894,                 0.9143,                0.94149,                0.88367,                0.93116,                0.81114,                0.54858,                0.33807,                0.87102,             0.00018231,             0.00018231,             0.00018231
                     69,                0.49531,                0.51555,                0.90871,                0.95277,                0.85635,                0.92617,                 0.8062,                0.54169,                0.34725,                 0.8708,              0.0001771,              0.0001771,              0.0001771
                     70,                 0.4931,                0.52079,                0.91234,                0.94691,                0.87191,                0.92915,                0.80883,                0.54679,                0.33849,                0.87042,              0.0001719,              0.0001719,              0.0001719
                     71,                0.50204,                0.52155,                0.90701,                0.93965,                0.88294,                0.92823,                0.80805,                0.54733,                0.33758,                 0.8743,             0.00016669,             0.00016669,             0.00016669
                     72,                0.48971,                0.50366,                0.90575,                0.93872,                0.87745,                0.93051,                0.80474,                0.54041,                0.33834,                 0.8694,             0.00016148,             0.00016148,             0.00016148
                     73,                0.49778,                0.50636,                0.90803,                0.94688,                0.87417,                0.93086,                0.81143,                0.53722,                0.32602,                0.87113,             0.00015627,             0.00015627,             0.00015627
                     74,                0.49044,                0.50465,                0.90913,                0.92352,                 0.9056,                0.93889,                0.81526,                0.53738,                0.32154,                0.87223,             0.00015107,             0.00015107,             0.00015107
                     75,                  0.501,                0.50074,                0.91009,                0.95303,                0.87825,                  0.939,                 0.8163,                0.53838,                0.32447,                0.86993,             0.00014586,             0.00014586,             0.00014586
                     76,                0.49134,                0.49807,                 0.9068,                0.93643,                0.87924,                0.93215,                0.80857,                0.53736,                0.32852,                0.86948,             0.00014065,             0.00014065,             0.00014065
                     77,                0.48053,                0.49179,                0.90123,                0.92227,                0.89426,                0.93523,                0.81607,                0.53243,                0.31524,                0.86682,             0.00013544,             0.00013544,             0.00013544
                     78,                0.49245,                0.48866,                0.90406,                0.94947,                0.88888,                0.93485,                0.81059,                0.53535,                0.31908,                0.86936,             0.00013024,             0.00013024,             0.00013024
                     79,                0.48557,                0.48052,                0.90427,                0.94534,                0.89201,                0.93835,                0.81297,                0.53634,                0.31687,                0.87027,             0.00012503,             0.00012503,             0.00012503
                     80,                0.48802,                0.49597,                0.90352,                0.95939,                0.87552,                0.93891,                0.81713,                0.53057,                 0.3154,                0.86781,             0.00011982,             0.00011982,             0.00011982
                     81,                0.48337,                0.47941,                 0.9018,                 0.9407,                0.89605,                0.93703,                 0.8188,                0.53645,                 0.3177,                0.87181,             0.00011462,             0.00011462,             0.00011462
                     82,                0.48519,                0.48233,                0.89997,                0.95209,                0.89046,                0.93871,                0.81723,                0.53166,                0.31446,                0.86835,             0.00010941,             0.00010941,             0.00010941
                     83,                0.48317,                0.48215,                0.89913,                 0.9442,                0.88645,                 0.9361,                0.81923,                0.53188,                0.31746,                0.87143,              0.0001042,              0.0001042,              0.0001042
                     84,                0.48292,                0.48456,                0.90631,                0.94032,                0.88813,                0.93742,                0.81842,                0.52627,                0.30568,                0.86868,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                0.47894,                0.47548,                 0.9024,                0.93848,                0.89132,                0.93352,                0.81196,                0.53006,                0.32368,                0.87068,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                0.47564,                0.46831,                0.89868,                0.93193,                0.89347,                0.93693,                0.81674,                 0.5304,                0.31528,                0.86997,             8.8578e-05,             8.8578e-05,             8.8578e-05
